Hubble, Cepheid, Old, 500, 50, 50, Hubble (1929)
HMS, Cepheid, Old, 180, 18, 18, Humason Mayall & Sandage (1956)
S&T, Cepheid, Old, 55, 10, 10, Sandage & Tammann (1970)
KP,Cepheid,PreferredValue,72,8,8 ,Freedman et al. (2001)  
WMAP1,CMB,WMAPOne-Year,72,5,5 ,Spergel et al. (2003)  
WMAP3,CMB,WMAPThree-YearMean,73.2,2.1,3.2 ,Spergel et al. (2007)  
WMAP5,CMB,WMAPFive-YearMean,71.9,2.6,2.7 ,Dunkley et al. (2009)  
SH_0E^2S,Cepheid,LMCAnchor,74.2,3.6,3.6 ,Riess et al. (2009)  
SH_0ES,Cepheid,PreferredValue,73.8,2.4,2.4 ,Riess et al. (2011)  
WMAP7,CMB,WMAPSeven-YearMean,70.4,2.5,2.5 ,Komatsu et al. (2011)  
CHP,Cepheid,LMCAnchorMIR,74.3,2.5,2.5 ,Freedman et al. (2012b)  
WMAP9,CMB,WMAPNine-Year,70.0,2.2,2.2 ,Bennett et al. (2013)  
P2013,CMB,Planck+WP+highL,67.3,1.2,1.2 ,Planck Collaboration et al. (2014) 
P2015,CMB,PlanckTT+lowP+lensing,67.8,0.9,0.9 ,Planck Collaboration et al. (2015) 
SH_0ES,Cepheid,PreferredValue,73.00,1.75,1.75 ,Riess et al. (2016)  
DES,CMB,DESY1_JLA_BAO_Planck,68.2,0.6,0.6,DES collaboration et al. (2017)
Ligo, GW,GW, 70, 12, 8, Ligo-Virgo collaboration et al. (2017)
